99,1000 hPa
98,Air properties for the  Earth’s surface
97,Level of the tropopause
96,Level of maximum wind
95,950 hPa
94,Level of 0°C isotherm
93,975 hPa
92,925 hPa
91,875 hPa
90,900 hPa
89,Any parameter reduced to sea level
"",(e.g. MSLP)
88,Ground or water properties for the
"","Earth’s surface (i.e. snow cover,"
"",wave and swell)
87,1000–500 hPa thickness
86,Boundary level
85,850 hPa
84,840 hPa
83,830 hPa
82,825 hPa
81,810 hPa
80,800 hPa
79,790 hPa
78,780 hPa
77,775 hPa
76,760 hPa
75,750 hPa
74,740 hPa
73,730 hPa
72,725 hPa
71,710 hPa
70,700 hPa
69,690 hPa
68,680 hPa
67,675 hPa
66,660 hPa
65,650 hPa
64,640 hPa
63,630 hPa
62,625 hPa
61,610 hPa
60,600 hPa
59,590 hPa
58,580 hPa
57,570 hPa
56,560 hPa
55,550 hPa
54,540 hPa
53,530 hPa
52,520 hPa
51,510 hPa
50,500 hPa
49,490 hPa
48,480 hPa
47,470 hPa
46,460 hPa
45,450 hPa
44,440 hPa
43,430 hPa
42,420 hPa
41,410 hPa
40,400 hPa
39,390 hPa
38,380 hPa
37,370 hPa
36,360 hPa
35,350 hPa
34,340 hPa
33,330 hPa
32,320 hPa
31,310 hPa
30,300 hPa
24,240 hPa
23,230 hPa
22,220 hPa
21,210 hPa
20,200 hPa
19,190 hPa
18,180 hPa
17,170 hPa
16,160 hPa
15,150 hPa
14,140 hPa
13,130 hPa
12,120 hPa
11,110 hPa
10,100 hPa
09,090 hPa
08,080 hPa
07,070 hPa
06,060 hPa
05,050 hPa
04,040 hPa
03,030 hPa
02,020 hPa
01,010 hPa
00,Entire atmosphere
"",(e.g. precipitable water)
